,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
192,0.17226505279541016,0.003967705366800798,0.0008066177368164062,0.0009879025934783035,0.001,"(11, 11)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (11, 11), 'ica__n_components': 5}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,5,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
193,0.16296658515930176,0.003944374354530984,0.0,0.0,0.001,"(11, 11)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (11, 11), 'ica__n_components': 6}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,5,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
194,0.13101391792297362,0.004356249192439131,0.0009191513061523437,0.0018383026123046876,0.001,"(11, 11)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (11, 11), 'ica__n_components': 7}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,5,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
195,0.14114160537719728,0.003682885777950129,0.00041499137878417967,0.0008299827575683593,0.001,"(11, 11)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (11, 11), 'ica__n_components': 8}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,5,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
196,0.16190166473388673,0.004915530966589224,0.001397562026977539,0.0019404073892165254,0.001,"(11, 11)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (11, 11), 'ica__n_components': 9}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,5,0.7833078101071975,0.7835630423685553,0.7833078101071975,0.7836182699668283,0.7836182699668283,0.7834830405033213,0.000144489236618566
197,0.13322210311889648,0.0038566492166170314,0.0,0.0,0.001,"(11, 11)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (11, 11), 'ica__n_components': 10}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,5,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
198,0.10685768127441406,0.001858023111940092,0.0,0.0,0.001,"(5, 5)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (5, 5), 'ica__n_components': 2}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,5,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
199,0.11130766868591309,0.003743566551156369,0.0,0.0,0.001,"(5, 5)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (5, 5), 'ica__n_components': 3}",0.2163265306122449,0.2163265306122449,0.2163265306122449,0.21654749744637386,0.21654749744637386,0.21641486320947326,0.00010824013408542338,305,0.2164369576314446,0.2164369576314446,0.2164369576314446,0.21638173003317174,0.21638173003317174,0.21641486659213544,2.70558870975874e-05
200,0.10904698371887207,0.0037302340057580475,0.0,0.0,0.001,"(5, 5)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (5, 5), 'ica__n_components': 4}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,5,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
201,0.11308450698852539,0.0023292879303411004,0.0009993553161621095,0.001998710632324219,0.001,"(5, 5)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (5, 5), 'ica__n_components': 5}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7834525025536262,0.7835851367905268,0.00010824013408538259,5,0.7835630423685553,0.7835630423685553,0.7835630423685553,0.7836182699668283,0.7836182699668283,0.7835851334078645,2.705588709761459e-05
202,0.20548887252807618,0.006069522328728823,0.0,0.0,0.001,"(5, 5)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (5, 5), 'ica__n_components': 6}",0.7836734693877551,0.7826530612244897,0.7846938775510204,0.7834525025536262,0.7824310520939735,0.7833809718252348,0.0008058527870750678,272,0.7833078101071975,0.7830525778458397,0.7833078101071975,0.7836182699668283,0.7836182699668283,0.7833809475987782,0.00021502032124806036
203,0.14327054023742675,0.00454720499000458,0.0014055252075195312,0.001961348625414815,0.001,"(5, 5)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (5, 5), 'ica__n_components': 7}",0.7836734693877551,0.7836734693877551,0.7836734693877551,0.7834525025536262,0.7824310520939735,0.7833809718252348,0.0004824266990572404,272,0.7835630423685553,0.7833078101071975,0.7833078101071975,0.7833631028323552,0.7836182699668283,0.7834320070764267,0.00013225859617164531
