,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
155,0.41355171203613283,0.09568468425548309,0.001728200912475586,0.0014865792650869925,0.01,"(22, 22, 22)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (22, 22, 22), 'pca__n_components': 4}",0.7959183673469388,0.789795918367347,0.8081632653061225,0.7691521961184883,0.7834525025536262,0.7893017558187015,0.012960651337144231,123,0.7935171005615109,0.790454313425217,0.7937723328228689,0.7874457769839245,0.7836182699668283,0.7897615587520699,0.003841175712283162
156,0.36206603050231934,0.0423043372891498,0.00020318031311035157,0.00040636062622070315,0.01,"(22, 22, 22)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (22, 22, 22), 'pca__n_components': 5}",0.8,0.7928571428571428,0.8285714285714286,0.7906026557711952,0.7742594484167518,0.7972641894650878,0.017780348514878534,45,0.8009188361408882,0.7912200102092904,0.7988769780500256,0.79535595815259,0.8142383261035978,0.8001220217312784,0.007789945664473664
157,0.7124400615692139,0.29905146025804963,0.0020105838775634766,0.002462493521504938,0.01,"(22, 22, 22)",6,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (22, 22, 22), 'pca__n_components': 6}",0.8030612244897959,0.7908163265306123,0.7989795918367347,0.7773237997957099,0.7609805924412666,0.7862392813393222,0.015384932402844042,172,0.8335885655946912,0.8404798366513527,0.7894333843797856,0.8333758611890788,0.8188313345241133,0.8231417964678043,0.018271922892677418
158,0.7460343360900878,0.049333058776510286,0.001000690460205078,0.002001380920410156,0.01,"(22, 22, 22)",7,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (22, 22, 22), 'pca__n_components': 7}",0.8193877551020409,0.7989795918367347,0.8377551020408164,0.7650663942798774,0.780388151174668,0.8003266639444672,0.026102010679055366,22,0.8295048494129658,0.8305257784583971,0.8149566105155691,0.837203368206175,0.8292931870375095,0.8282967587261233,0.0072760996167443035
159,0.5590014934539795,0.09392439687637161,0.00091400146484375,0.0018280029296875,0.01,"(22, 22, 22)",8,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (22, 22, 22), 'pca__n_components': 8}",0.813265306122449,0.7959183673469388,0.8418367346938775,0.7895812053115424,0.7660878447395302,0.8013474887709269,0.02526843822724347,21,0.8297600816743236,0.8264420622766717,0.8279734558448187,0.8321000255167135,0.8249553457514672,0.828246194212799,0.002502112420374634
160,0.5037827968597413,0.09468816091457849,0.0025282859802246093,0.001618119629927669,0.01,"(22, 22, 22)",9,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (22, 22, 22), 'pca__n_components': 9}",0.8061224489795918,0.8061224489795918,0.8357142857142857,0.7926455566905005,0.7466802860061287,0.7974683544303798,0.029032015265421037,43,0.8335885655946912,0.8187850944359367,0.8098519652884124,0.818065833120694,0.8290380199030365,0.8218658956685541,0.008451351264897768
161,0.45197458267211915,0.12357257041044772,0.004003763198852539,0.0020018817208148714,0.01,"(22, 22, 22)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (22, 22, 22), 'pca__n_components': 10}",0.813265306122449,0.8020408163265306,0.8316326530612245,0.7916241062308478,0.7579162410623085,0.7993058391180073,0.02457194130645747,26,0.8261868300153139,0.821337417049515,0.8261868300153139,0.8300586884409288,0.8134728247001786,0.8234485180442501,0.005703722691011448
162,0.13399229049682618,0.011637571432806419,0.0,0.0,0.001,"(11,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (11,), 'pca__n_components': 2}",0.7795918367346939,0.7836734693877551,0.7765306122448979,0.7834525025536262,0.7834525025536262,0.7813393221723153,0.002848302858089202,279,0.7825421133231241,0.7835630423685553,0.7787136294027565,0.7833631028323552,0.7833631028323552,0.7823089981518292,0.0018317161012239166
163,0.25004024505615235,0.04301400340762425,0.0010008811950683594,0.0020017623901367188,0.001,"(11,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (11,), 'pca__n_components': 3}",0.7948979591836735,0.789795918367347,0.7887755102040817,0.7865168539325843,0.763023493360572,0.7846059616169865,0.01113080641617321,201,0.7838182746299133,0.7884124553343542,0.787391526288923,0.7866802755805052,0.7831079356978821,0.7858820935063155,0.0020626930372815897
164,0.16959009170532227,0.07046864311790461,0.0,0.0,0.001,"(11,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (11,), 'pca__n_components': 4}",0.7969387755102041,0.7928571428571428,0.7928571428571428,0.780388151174668,0.7763023493360572,0.7878726010616578,0.008021372652395923,136,0.7940275650842267,0.790454313425217,0.7896886166411434,0.7790252615463128,0.7838734371013013,0.7874138387596402,0.00531155623268818
