,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
11,0.1875211238861084,0.053753778281033664,0.00040607452392578126,0.0008121490478515625,0.01,"(22,)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (22,)}",0.8051020408163265,0.8,0.8051020408163265,0.7987742594484167,0.7732379979570991,0.79644752960392,0.011884866604093445,23,0.8080653394589076,0.8167432363450741,0.8062787136294027,0.8030109721867823,0.804797142128094,0.8077790807496521,0.004781546785155142
12,0.45658321380615235,0.1747832182862844,0.0019979953765869142,0.0024470367381063517,0.01,"(11, 11)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (11, 11)}",0.8142857142857143,0.8112244897959183,0.8448979591836735,0.7834525025536262,0.780388151174668,0.8068599428338097,0.02353551510707426,1,0.812149055640633,0.8144461459928535,0.8111281265952016,0.8351620311303904,0.8267415156927788,0.8199253750103713,0.009449869171230562
13,0.1622096061706543,0.008814894841313986,0.0008231639862060547,0.0010081946281604276,0.01,"(5, 5)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (5, 5)}",0.789795918367347,0.7744897959183673,0.7836734693877551,0.780388151174668,0.7834525025536262,0.782360146998775,0.004981674562690964,30,0.7822868810617662,0.7820316488004083,0.7792240939254722,0.7846389385047206,0.7836182699668283,0.782359966451839,0.0018288724291078693
14,0.47841901779174806,0.22331950733441025,0.0010049819946289062,0.001559148686954289,0.01,"(22, 22)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (22, 22)}",0.8091836734693878,0.7857142857142857,0.8244897959183674,0.7957099080694586,0.7732379979570991,0.7976725193956717,0.017863975648535407,20,0.8374170495150587,0.8141909137314957,0.7998979070954568,0.8331206940546058,0.8280173513651442,0.8225287831523522,0.013752454693300836
15,0.2952373504638672,0.029543089224061098,0.0,0.0,0.01,"(11, 11, 11)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (11, 11, 11)}",0.8142857142857143,0.7989795918367347,0.8112244897959183,0.7957099080694586,0.7742594484167518,0.7988975091874234,0.01418262032851208,15,0.8144461459928535,0.8162327718223583,0.8016845329249617,0.8137279918346517,0.820872671599898,0.8133928228349447,0.0063611214160279395
16,0.15282297134399414,0.007714929241991437,1.8835067749023438e-05,3.7670135498046875e-05,0.01,"(5, 5, 5)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (5, 5, 5)}",0.7836734693877551,0.7836734693877551,0.7479591836734694,0.7834525025536262,0.7834525025536262,0.7764393630053082,0.014244066485268433,33,0.7835630423685553,0.7833078101071975,0.7570188871873405,0.7831079356978821,0.782852768563409,0.7779700887848768,0.010478199080049155
17,0.5389918804168701,0.1640152639430989,0.0004090309143066406,0.0008180618286132812,0.01,"(22, 22, 22)","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (22, 22, 22)}",0.8112244897959183,0.8,0.8367346938775511,0.797752808988764,0.7773237997957099,0.8046141282155982,0.019434610104478656,4,0.8159775395610005,0.8154670750382849,0.8333333333333334,0.8224036744067365,0.8318448583822403,0.8238052961443192,0.00759186803742945
18,0.3131878852844238,0.020955099879819826,0.000706624984741211,0.001413249969482422,0.001,"(11,)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (11,)}",0.8163265306122449,0.8030612244897959,0.8326530612244898,0.7895812053115424,0.7660878447395302,0.8015516537362188,0.02275290608931311,9,0.8124042879019908,0.8116385911179173,0.8034711587544666,0.8173003317172748,0.8203623373309518,0.8130353413645203,0.005756695950345148
19,0.23867621421813964,0.12292631876050797,0.00040574073791503905,0.0008114814758300781,0.001,"(5,)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (5,)}",0.8020408163265306,0.8010204081632653,0.8051020408163265,0.7691521961184883,0.7487231869254342,0.7852184565128624,0.02243873829598379,25,0.8044920877998979,0.8144461459928535,0.7871362940275651,0.7843837713702475,0.7841286042357745,0.7949173806852677,0.012336511847544368
20,0.19807786941528321,0.050408092667075056,0.001986789703369141,0.0024333882470032936,0.001,"(22,)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (22,)}",0.8051020408163265,0.8,0.8051020408163265,0.7997957099080695,0.7732379979570991,0.7966516945692119,0.01193176385525528,21,0.8083205717202654,0.8167432363450741,0.8062787136294027,0.8030109721867823,0.804797142128094,0.8078301272019237,0.004785690922203833
21,0.39162335395812986,0.16169864929723848,0.0005043983459472656,0.0006395223919697046,0.001,"(11, 11)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (11, 11)}",0.8153061224489796,0.8112244897959183,0.8387755102040816,0.7814096016343207,0.7783452502553626,0.8050224581461821,0.022594134494930952,2,0.812149055640633,0.8144461459928535,0.8085758039816233,0.834141362592498,0.8188313345241133,0.8176287405463443,0.008901959720388998
22,0.15104403495788574,0.005149508627989559,0.00090484619140625,0.0018096923828125001,0.001,"(5, 5)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (5, 5)}",0.789795918367347,0.7744897959183673,0.7836734693877551,0.780388151174668,0.7834525025536262,0.782360146998775,0.004981674562690964,30,0.7825421133231241,0.7820316488004083,0.7792240939254722,0.7846389385047206,0.7836182699668283,0.7824110129041106,0.0018296818913015355
23,0.4657606601715088,0.18842237463888634,0.0015057086944580077,0.0018380194789514338,0.001,"(22, 22)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (22, 22)}",0.8214285714285714,0.7857142857142857,0.8244897959183674,0.7854954034729316,0.7742594484167518,0.7982850142915475,0.020597329392117596,17,0.8305257784583971,0.8139356814701378,0.8001531393568146,0.8361826996682827,0.827762184230671,0.8217118966368607,0.013030304454502577
24,0.2962473392486572,0.031524526644061315,0.0010189533233642579,0.0015774298339737028,0.001,"(11, 11, 11)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (11, 11, 11)}",0.8142857142857143,0.7989795918367347,0.8112244897959183,0.797752808988764,0.7742594484167518,0.7993058391180073,0.014114211906961995,14,0.8149566105155691,0.8159775395610005,0.8019397651863196,0.8137279918346517,0.8218933401377903,0.8136990494470663,0.0065146140476814015
25,0.14582443237304688,0.00709448873573761,0.0,0.0,0.001,"(5, 5, 5)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (5, 5, 5)}",0.7836734693877551,0.7836734693877551,0.7479591836734694,0.7834525025536262,0.7834525025536262,0.7764393630053082,0.014244066485268433,33,0.7835630423685553,0.7833078101071975,0.7570188871873405,0.7831079356978821,0.782852768563409,0.7779700887848768,0.010478199080049155
26,0.5339733123779297,0.19403336090157192,0.0,0.0,0.001,"(22, 22, 22)","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (22, 22, 22)}",0.8,0.7918367346938775,0.8336734693877551,0.7987742594484167,0.7773237997957099,0.8003266639444672,0.01852508966639562,12,0.8098519652884124,0.8093415007656968,0.8330781010719756,0.8264863485583057,0.8313345241132942,0.822018487959537,0.010371071577852909
27,0.30829195976257323,0.026496035799611004,3.62396240234375e-06,7.2479248046875005e-06,0.0001,"(11,)","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (11,)}",0.8153061224489796,0.8030612244897959,0.8326530612244898,0.7906026557711952,0.7660878447395302,0.8015516537362188,0.022520894624337207,9,0.8124042879019908,0.8116385911179173,0.8034711587544666,0.8173003317172748,0.8203623373309518,0.8130353413645203,0.005756695950345148
28,0.24345250129699708,0.12164639726049899,0.0,0.0,0.0001,"(5,)","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (5,)}",0.8020408163265306,0.8010204081632653,0.8051020408163265,0.7691521961184883,0.7487231869254342,0.7852184565128624,0.02243873829598379,25,0.8044920877998979,0.8147013782542113,0.7871362940275651,0.7843837713702475,0.7841286042357745,0.7949684271375392,0.012417475423698374
29,0.18964877128601074,0.0510469010636469,0.0020517826080322264,0.0025142413478646255,0.0001,"(22,)","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (22,)}",0.8051020408163265,0.8,0.8051020408163265,0.7997957099080695,0.7732379979570991,0.7966516945692119,0.01193176385525528,21,0.8083205717202654,0.8167432363450741,0.8062787136294027,0.8030109721867823,0.804797142128094,0.8078301272019237,0.004785690922203833
30,0.3895528316497803,0.1710211375715325,0.0,0.0,0.0001,"(11, 11)","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (11, 11)}",0.8142857142857143,0.810204081632653,0.8367346938775511,0.7834525025536262,0.7783452502553626,0.8046141282155982,0.021420371364767137,4,0.812149055640633,0.8139356814701378,0.8072996426748341,0.8354171982648635,0.8188313345241133,0.8175265825149165,0.009676561102038806
31,0.15188894271850586,0.006971621723035066,0.0014033794403076171,0.0019570561517490543,0.0001,"(5, 5)","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (5, 5)}",0.789795918367347,0.7744897959183673,0.7836734693877551,0.780388151174668,0.7834525025536262,0.782360146998775,0.004981674562690964,30,0.7825421133231241,0.7820316488004083,0.7792240939254722,0.7846389385047206,0.7836182699668283,0.7824110129041106,0.0018296818913015355
32,0.46836538314819337,0.20137682387919792,0.0012159347534179688,0.001521353186562762,0.0001,"(22, 22)","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (22, 22)}",0.8214285714285714,0.7857142857142857,0.8244897959183674,0.7844739530132788,0.7752808988764045,0.7982850142915475,0.020495831042788733,17,0.8312914752424706,0.8139356814701378,0.8004083716181726,0.8366930339372289,0.827762184230671,0.8220181492997363,0.013165481594797879
33,0.285471773147583,0.035313191940645514,0.000615072250366211,0.001230144500732422,0.0001,"(11, 11, 11)","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (11, 11, 11)}",0.8142857142857143,0.7918367346938775,0.8112244897959183,0.797752808988764,0.7742594484167518,0.7978766843609637,0.014432922725756267,19,0.8149566105155691,0.810617662072486,0.8019397651863196,0.8134728247001786,0.8216381730033172,0.8125250070955742,0.006411648112308064
34,0.15117807388305665,0.005854432995444923,0.0008020877838134765,0.0016041755676269528,0.0001,"(5, 5, 5)","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (5, 5, 5)}",0.7836734693877551,0.7836734693877551,0.7479591836734694,0.7834525025536262,0.7834525025536262,0.7764393630053082,0.014244066485268433,33,0.7835630423685553,0.7833078101071975,0.7570188871873405,0.7831079356978821,0.782852768563409,0.7779700887848768,0.010478199080049155
35,0.5501833915710449,0.1774981647825061,0.0008111000061035156,0.0011763975301222857,0.0001,"(22, 22, 22)","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (22, 22, 22)}",0.8,0.8,0.8357142857142857,0.797752808988764,0.7783452502553626,0.8023683135973867,0.018556261646150325,7,0.8095967330270546,0.8164880040837161,0.8343542623787646,0.8269966828272518,0.8315896912477673,0.823805074712911,0.009354020241739414
